,u,direction,z,sonic_temp,h,u_top,direction_top,z_top,sonic_temp_top,Pyranometer Upper Irradiance [W/m$^2$],Pyranometer Lower Irradiance [W/m$^2$],Pyrgeometer Upper Irradiance [W/m$^2$],Pyrgeometer Lower Irradiance [W/m$^2$],Net Solar radiation [W/m$^2$],Net (total) radiation [W/m$^2$],Net Far Infrared radiation [W/m$^2$],Sky temperature [°C],Radiometer Ground temperature [°C],Sensor Ground temperature [°C],North temperature [°C],East temperature [°C],South temperature [°C],West temperature [°C]
2018-11-14 03:27:00,282.27976686094917,2.387951706910907,-0.17936719400499593,13.138476269775188,13.5,336.5886761032473,2.8883180682764364,-0.1587260616153206,13.219308909242333,3.80155625,3.7007434154171876e-17,365.77303483333327,366.5335005,3.8015563333333335,3.0410904166666666,-0.7604658333333335,10.247878333333334,10.40012775,10.635000000000009,12.868333333333325,11.611666666666675,11.47833333333333,10.33333333333333
2018-11-14 03:27:00,340.55703580349706,2.5744962531224003,-0.06845129059117404,13.26791840133229,17.5,336.5886761032473,2.8883180682764364,-0.1587260616153206,13.219308909242333,3.80155625,3.7007434154171876e-17,365.77303483333327,366.5335005,3.8015563333333335,3.0410904166666666,-0.7604658333333335,10.247878333333334,10.40012775,10.635000000000009,12.868333333333325,11.611666666666675,11.47833333333333,10.33333333333333
2018-11-14 03:27:00,319.31083333333333,2.6637666666666644,-0.18320833333333306,12.606699999999973,21.5,336.5886761032473,2.8883180682764364,-0.1587260616153206,13.219308909242333,3.80155625,3.7007434154171876e-17,365.77303483333327,366.5335005,3.8015563333333335,3.0410904166666666,-0.7604658333333335,10.247878333333334,10.40012775,10.635000000000009,12.868333333333325,11.611666666666675,11.47833333333333,10.33333333333333
2018-11-14 03:28:00,220.84294068504602,0.4938095238095238,-0.042514619883041,13.909064327485318,1.5,335.9916666666667,2.338308333333338,-0.15286666666666673,13.207825000000005,4.740212083333334,-0.2278466666666667,366.57558183333333,364.4302,4.968058833333333,7.113440333333332,2.1453816666666667,10.404814166666668,9.993061333333333,10.630000000000008,12.883333333333326,11.605000000000011,11.481666666666667,10.323333333333327
2018-11-14 03:28:00,209.99581939799333,0.38299331103678896,0.009615384615384456,13.43242474916374,5.5,335.9916666666667,2.338308333333338,-0.15286666666666673,13.207825000000005,4.740212083333334,-0.2278466666666667,366.57558183333333,364.4302,4.968058833333333,7.113440333333332,2.1453816666666667,10.404814166666668,9.993061333333333,10.630000000000008,12.883333333333326,11.605000000000011,11.481666666666667,10.323333333333327
2018-11-14 03:28:00,222.3440405748098,0.7730008453085374,-0.09683854606931534,12.399966187658439,9.5,335.9916666666667,2.338308333333338,-0.15286666666666673,13.207825000000005,4.740212083333334,-0.2278466666666667,366.57558183333333,364.4302,4.968058833333333,7.113440333333332,2.1453816666666667,10.404814166666668,9.993061333333333,10.630000000000008,12.883333333333326,11.605000000000011,11.481666666666667,10.323333333333327
2018-11-14 03:28:00,266.1325,1.8363916666666664,-0.12645833333333334,13.143008333333304,13.5,335.9916666666667,2.338308333333338,-0.15286666666666673,13.207825000000005,4.740212083333334,-0.2278466666666667,366.57558183333333,364.4302,4.968058833333333,7.113440333333332,2.1453816666666667,10.404814166666668,9.993061333333333,10.630000000000008,12.883333333333326,11.605000000000011,11.481666666666667,10.323333333333327
2018-11-14 03:28:00,335.7,2.220050000000004,-0.12457500000000013,13.282216666666743,17.5,335.9916666666667,2.338308333333338,-0.15286666666666673,13.207825000000005,4.740212083333334,-0.2278466666666667,366.57558183333333,364.4302,4.968058833333333,7.113440333333332,2.1453816666666667,10.404814166666668,9.993061333333333,10.630000000000008,12.883333333333326,11.605000000000011,11.481666666666667,10.323333333333327
2018-11-14 03:28:00,312.18984179850133,2.319592006661113,-0.1329558701082431,12.603646960865936,21.5,335.9916666666667,2.338308333333338,-0.15286666666666673,13.207825000000005,4.740212083333334,-0.2278466666666667,366.57558183333333,364.4302,4.968058833333333,7.113440333333332,2.1453816666666667,10.404814166666668,9.993061333333333,10.630000000000008,12.883333333333326,11.605000000000011,11.481666666666667,10.323333333333327
2018-11-14 03:29:00,205.5016891891892,0.3729054054054056,0.034864864864864904,13.876283783783801,1.5,337.74021648626143,2.966860949208991,-0.1716569525395505,13.273563696919258,4.4586154166666665,-1.68606425,365.8021414166667,364.10546933333336,6.144679750000001,7.841351666666665,1.6966719999999995,10.255968083333334,9.928483666666667,10.648333333333337,12.941666666666665,11.60000000000001,11.515,10.32166666666666
